Id,Label,timeset,pageranks,modularity_class
216,,,0.000242,4
217,,,0.000082,4
218,,,0.000065,4
219,,,0.00038,4
220,,,0.000056,4
223,,,0.000212,4
224,,,0.000267,4
225,,,0.000128,4
227,,,0.000174,4
228,,,0.000377,4
230,,,0.000808,13
231,,,0.000156,4
232,,,0.000057,4
233,,,0.000111,4
208,,,0.00013,4
234,,,0.000092,4
235,,,0.000404,4
222,,,0.000432,4
236,,,0.000086,4
237,,,0.000057,4
238,,,0.00016,4
239,,,0.000202,4
240,,,0.000116,4
241,,,0.00017,4
242,,,0.000381,13
244,,,0.000188,4
164,,,0.000153,4
245,,,0.000386,4
246,,,0.000103,10
247,,,0.000055,4
248,,,0.000084,4
250,,,0.000147,4
251,,,0.000257,4
249,,,0.000868,4
243,,,0.000235,4
252,,,0.000061,4
253,,,0.000035,0
255,,,0.000061,11
256,,,0.000821,4
257,,,0.000424,4
258,,,0.000076,4
259,,,0.000085,4
260,,,0.000083,4
261,,,0.000237,4
262,,,0.000194,4
263,,,0.000136,4
264,,,0.000065,4
265,,,0.000117,4
266,,,0.000472,4
267,,,0.000052,0
268,,,0.000145,4
229,,,0.000125,4
221,,,0.000228,4
269,,,0.000135,4
271,,,0.000077,4
272,,,0.00028,4
273,,,0.000656,4
274,,,0.000523,4
275,,,0.000061,4
276,,,0.000165,4
270,,,0.000967,4
277,,,0.000056,4
279,,,0.000065,4
278,,,0.000129,4
280,,,0.001387,18
281,,,0.000055,18
282,,,0.000281,4
283,,,0.000406,4
284,,,0.000204,4
285,,,0.000267,4
286,,,0.000078,4
287,,,0.000057,4
288,,,0.000177,4
290,,,0.000055,18
291,,,0.000117,4
292,,,0.000078,10
293,,,0.0002,4
294,,,0.000057,4
295,,,0.000593,4
296,,,0.000179,4
297,,,0.000092,4
298,,,0.000395,4
299,,,0.000103,4
301,,,0.000196,4
302,,,0.000059,4
303,,,0.000051,4
304,,,0.002198,10
254,,,0.0001,4
305,,,0.000083,4
306,,,0.000083,4
307,,,0.00009,4
308,,,0.000278,4
309,,,0.000684,10
310,,,0.000157,4
311,,,0.000055,4
312,,,0.000288,4
314,,,0.000061,4
313,,,0.000074,4
315,,,0.000111,4
316,,,0.000076,4
317,,,0.000121,4
318,,,0.000106,4
319,,,0.000297,4
320,,,0.000133,4
322,,,0.000233,4
323,,,0.000072,4
324,,,0.000162,4
325,,,0.00036,4
326,,,0.000057,4
321,,,0.000156,4
327,,,0.000061,4
328,,,0.000088,4
329,,,0.000053,4
334,,,0.000039,4
338,,,0.000039,4
345,,,0.000125,4
346,,,0.000626,4
289,,,0.000057,4
347,,,0.000217,4
349,,,0.000072,4
340,,,0.00015,4
336,,,0.000039,4
350,,,0.000681,4
352,,,0.000052,4
353,,,0.001765,4
354,,,0.000057,4
355,,,0.000051,4
356,,,0.000155,4
357,,,0.000131,4
359,,,0.000264,10
339,,,0.000071,4
360,,,0.000077,4
366,,,0.000153,4
367,,,0.000072,4
368,,,0.000057,4
358,,,0.000079,4
370,,,0.000068,4
371,,,0.000072,0
372,,,0.000225,4
363,,,0.000892,10
375,,,0.000082,4
377,,,0.000086,4
374,,,0.000293,4
378,,,0.000263,4
379,,,0.000053,4
380,,,0.000128,4
382,,,0.000048,10
383,,,0.000601,4
384,,,0.000328,4
385,,,0.000067,4
386,,,0.000287,4
348,,,0.000133,4
387,,,0.000469,4
388,,,0.000076,4
389,,,0.000094,4
390,,,0.000288,4
391,,,0.000059,4
392,,,0.00011,4
330,,,0.000199,4
351,,,0.000081,4
393,,,0.000327,4
342,,,0.000304,4
395,,,0.000231,11
396,,,0.000323,4
397,,,0.000039,4
399,,,0.000497,4
400,,,0.000039,4
401,,,0.000341,4
402,,,0.000266,4
403,,,0.000056,4
404,,,0.000168,4
405,,,0.000589,4
406,,,0.000129,4
407,,,0.000073,4
408,,,0.000341,4
409,,,0.000114,4
410,,,0.000142,4
411,,,0.000108,4
412,,,0.000435,4
414,,,0.000039,4
415,,,0.000551,0
418,,,0.000413,4
300,,,0.000142,4
421,,,0.000158,4
423,,,0.000225,4
333,,,0.000039,4
341,,,0.000039,4
427,,,0.000316,4
428,,,0.000139,4
429,,,0.000057,4
332,,,0.000064,12
394,,,0.000384,4
430,,,0.000065,4
432,,,0.000078,4
433,,,0.000148,4
434,,,0.000055,18
435,,,0.000081,4
436,,,0.000346,4
437,,,0.000116,4
438,,,0.000082,0
439,,,0.00007,4
441,,,0.000195,4
442,,,0.000055,4
443,,,0.000404,4
440,,,0.000087,4
444,,,0.000072,4
445,,,0.000061,4
446,,,0.00043,4
365,,,0.000141,4
448,,,0.000112,13
449,,,0.000103,4
431,,,0.000059,4
450,,,0.000057,10
451,,,0.000075,18
452,,,0.000517,4
453,,,0.000139,10
454,,,0.000155,4
455,,,0.000251,4
456,,,0.000056,4
457,,,0.000064,4
416,,,0.00041,4
458,,,0.000073,0
459,,,0.000087,4
460,,,0.000092,4
464,,,0.000159,0
465,,,0.000356,4
466,,,0.000083,4
467,,,0.000131,4
468,,,0.001536,4
463,,,0.000156,4
469,,,0.000371,4
462,,,0.000506,4
470,,,0.000082,4
471,,,0.000081,4
472,,,0.000384,4
473,,,0.000057,4
369,,,0.000039,4
425,,,0.00048,10
417,,,0.000167,4
475,,,0.000326,4
476,,,0.000434,4
197,,,0.000091,4
477,,,0.000105,4
478,,,0.000104,4
424,,,0.000082,4
479,,,0.00018,4
376,,,0.000039,4
373,,,0.000039,4
420,,,0.000039,4
480,,,0.00044,4
398,,,0.000056,4
481,,,0.000642,11
482,,,0.000067,4
483,,,0.000068,4
484,,,0.000657,4
485,,,0.000053,10
486,,,0.00011,18
487,,,0.000085,4
488,,,0.00025,4
489,,,0.000286,4
490,,,0.000104,4
492,,,0.001335,4
493,,,0.000386,10
494,,,0.000217,4
447,,,0.000112,4
495,,,0.000279,4
496,,,0.000135,4
497,,,0.000215,4
499,,,0.000183,4
500,,,0.000144,10
501,,,0.000134,4
502,,,0.000315,4
491,,,0.000452,4
503,,,0.00007,4
504,,,0.000055,10
505,,,0.000055,4
506,,,0.000086,6
498,,,0.000083,4
507,,,0.000108,4
331,,,0.000072,4
508,,,0.000156,4
509,,,0.000225,1
510,,,0.000148,1
511,,,0.000055,4
512,,,0.000229,1
513,,,0.000148,1
514,,,0.000141,4
515,,,0.000077,4
516,,,0.000146,4
517,,,0.000107,4
422,,,0.000039,4
518,,,0.000165,4
337,,,0.000039,4
519,,,0.000039,4
520,,,0.000537,4
381,,,0.000039,4
521,,,0.000228,4
362,,,0.000039,4
522,,,0.000752,4
523,,,0.00171,4
524,,,0.000055,10
364,,,0.000039,4
413,,,0.000039,4
525,,,0.000098,4
361,,,0.000895,18
526,,,0.00013,4
527,,,0.000084,18
529,,,0.000075,4
530,,,0.000267,4
531,,,0.000077,4
532,,,0.000102,4
533,,,0.000309,4
534,,,0.000299,4
535,,,0.000615,4
536,,,0.000157,4
537,,,0.001318,4
538,,,0.000226,4
539,,,0.000409,4
540,,,0.000918,10
541,,,0.000053,4
419,,,0.000249,4
542,,,0.000104,4
335,,,0.000039,4
543,,,0.000055,4
544,,,0.000082,4
545,,,0.001476,4
546,,,0.003161,10
547,,,0.000391,4
548,,,0.000186,4
549,,,0.000104,0
426,,,0.000039,4
550,,,0.000854,4
552,,,0.000062,0
553,,,0.000078,13
554,,,0.000399,4
555,,,0.000059,4
556,,,0.000068,11
557,,,0.000115,4
558,,,0.000096,4
559,,,0.000125,4
560,,,0.000121,4
561,,,0.000389,4
562,,,0.000086,4
563,,,0.000319,3
564,,,0.000324,3
565,,,0.000065,4
566,,,0.000281,4
551,,,0.000075,4
567,,,0.000122,4
569,,,0.000075,4
570,,,0.001176,3
571,,,0.000362,3
572,,,0.000105,0
573,,,0.000342,3
575,,,0.000056,4
474,,,0.000068,4
577,,,0.000232,4
578,,,0.000304,4
528,,,0.000052,0
580,,,0.000063,4
581,,,0.000063,4
582,,,0.000082,4
583,,,0.000149,4
584,,,0.000057,4
585,,,0.000299,4
586,,,0.000143,4
587,,,0.000149,10
589,,,0.000083,4
590,,,0.000149,18
592,,,0.00112,4
579,,,0.000318,4
343,,,0.000039,4
594,,,0.000118,4
595,,,0.000055,17
596,,,0.000058,4
597,,,0.000208,10
588,,,0.000086,10
598,,,0.000503,3
599,,,0.000088,3
600,,,0.000063,4
601,,,0.000063,4
602,,,0.000063,4
603,,,0.000056,4
604,,,0.00009,3
591,,,0.000111,10
605,,,0.000111,4
606,,,0.000412,4
607,,,0.000073,4
608,,,0.000272,4
609,,,0.000088,3
610,,,0.000178,4
611,,,0.000063,4
612,,,0.000052,10
613,,,0.000077,4
614,,,0.000154,3
615,,,0.000053,10
617,,,0.000135,4
618,,,0.00006,4
619,,,0.000083,10
620,,,0.000109,10
621,,,0.000283,4
622,,,0.000063,4
623,,,0.000099,4
616,,,0.00017,4
593,,,0.000095,4
624,,,0.000052,18
625,,,0.000326,18
626,,,0.000214,4
628,,,0.000387,4
629,,,0.000087,4
630,,,0.00066,4
631,,,0.000067,4
627,,,0.000184,4
632,,,0.000659,4
633,,,0.000245,4
634,,,0.000928,4
635,,,0.00078,10
636,,,0.000056,10
637,,,0.00006,10
638,,,0.000118,4
639,,,0.000078,4
344,,,0.000039,4
642,,,0.00032,4
643,,,0.000121,4
644,,,0.00029,4
647,,,0.000768,4
648,,,0.000059,4
649,,,0.000092,4
650,,,0.000256,4
651,,,0.000307,4
652,,,0.000121,4
653,,,0.000209,4
654,,,0.000423,4
655,,,0.000085,4
656,,,0.000102,4
658,,,0.00014,4
660,,,0.000058,4
661,,,0.000131,4
662,,,0.000063,4
663,,,0.000106,4
664,,,0.000809,4
574,,,0.000103,3
659,,,0.000056,10
665,,,0.000102,4
666,,,0.000118,4
667,,,0.00024,4
668,,,0.000057,4
670,,,0.000085,4
671,,,0.000067,4
672,,,0.000122,4
674,,,0.000081,4
675,,,0.000068,4
676,,,0.000095,4
677,,,0.000081,0
678,,,0.000258,4
679,,,0.000074,4
680,,,0.000238,4
681,,,0.000101,4
682,,,0.000052,4
669,,,0.000112,3
684,,,0.00006,4
685,,,0.000092,0
686,,,0.000089,4
687,,,0.001358,4
688,,,0.000172,4
689,,,0.000261,4
690,,,0.000082,18
691,,,0.00016,4
692,,,0.000071,4
693,,,0.00006,4
694,,,0.000062,0
695,,,0.000225,2
696,,,0.000401,2
683,,,0.000088,3
646,,,0.000088,3
698,,,0.000055,4
697,,,0.000133,4
699,,,0.000088,4
700,,,0.0004,13
701,,,0.00016,4
702,,,0.000096,4
703,,,0.000136,4
641,,,0.000305,3
705,,,0.000352,10
706,,,0.000069,4
708,,,0.000105,18
707,,,0.000462,3
704,,,0.000057,4
709,,,0.000094,4
710,,,0.000592,18
711,,,0.000056,4
712,,,0.000055,4
714,,,0.000463,4
717,,,0.000062,4
718,,,0.000109,4
719,,,0.000123,10
720,,,0.000073,10
721,,,0.000053,4
722,,,0.000189,0
723,,,0.000058,0
724,,,0.000085,4
725,,,0.000746,4
726,,,0.00027,4
727,,,0.000097,4
640,,,0.000178,17
728,,,0.0001,4
730,,,0.000106,4
729,,,0.001145,4
715,,,0.000271,3
731,,,0.000056,4
732,,,0.001026,4
733,,,0.000256,4
734,,,0.000179,4
735,,,0.000231,4
736,,,0.000055,4
737,,,0.000071,4
738,,,0.000061,4
673,,,0.00031,3
716,,,0.000263,3
739,,,0.000086,4
740,,,0.00009,3
741,,,0.000086,10
742,,,0.00055,4
743,,,0.000113,4
744,,,0.000117,4
745,,,0.000065,4
746,,,0.00006,4
747,,,0.000059,4
748,,,0.000088,4
749,,,0.000059,4
750,,,0.00006,4
751,,,0.000073,10
576,,,0.000215,4
752,,,0.000061,13
753,,,0.000112,4
754,,,0.000062,4
755,,,0.000387,4
756,,,0.000073,10
757,,,0.000422,4
758,,,0.000053,4
759,,,0.000057,4
761,,,0.000088,3
763,,,0.000106,4
657,,,0.000088,3
764,,,0.000096,4
765,,,0.000052,10
766,,,0.000081,4
767,,,0.000356,4
768,,,0.000427,4
769,,,0.000156,4
770,,,0.000611,4
772,,,0.000072,4
773,,,0.000071,4
774,,,0.000092,4
775,,,0.001798,4
776,,,0.000142,4
777,,,0.000435,4
760,,,0.000346,4
778,,,0.000086,4
779,,,0.000269,4
780,,,0.000404,4
781,,,0.000301,4
782,,,0.000079,4
783,,,0.000052,4
784,,,0.000117,4
785,,,0.000057,4
786,,,0.00021,10
787,,,0.0001,4
788,,,0.000113,4
789,,,0.000056,4
790,,,0.000084,4
791,,,0.00014,4
792,,,0.000079,4
793,,,0.000103,4
794,,,0.000125,4
795,,,0.000157,4
796,,,0.000054,4
797,,,0.000071,4
798,,,0.000094,4
799,,,0.000126,4
800,,,0.000071,4
801,,,0.000372,6
802,,,0.000254,4
803,,,0.000058,4
804,,,0.000215,13
805,,,0.000119,4
806,,,0.000065,4
808,,,0.000072,4
762,,,0.000164,4
809,,,0.000059,4
810,,,0.000064,4
811,,,0.000112,4
812,,,0.000153,4
813,,,0.000052,4
814,,,0.000064,4
815,,,0.000094,4
816,,,0.000088,3
817,,,0.000159,4
818,,,0.000143,4
819,,,0.000311,4
820,,,0.000218,4
821,,,0.00006,4
823,,,0.000425,10
9,,,0.000055,4
824,,,0.000303,4
826,,,0.000106,4
827,,,0.000277,4
828,,,0.000059,4
829,,,0.000083,4
830,,,0.000127,4
831,,,0.000054,4
833,,,0.000089,4
834,,,0.000127,4
835,,,0.000146,4
836,,,0.000052,0
837,,,0.000112,4
838,,,0.000206,4
839,,,0.000134,4
840,,,0.000059,4
832,,,0.0029,4
841,,,0.000092,13
842,,,0.00012,4
843,,,0.000062,4
844,,,0.000061,4
845,,,0.000093,4
846,,,0.000204,4
847,,,0.000166,4
848,,,0.000067,4
849,,,0.000081,4
850,,,0.000083,4
851,,,0.00013,4
852,,,0.00006,4
853,,,0.000262,4
854,,,0.000094,4
855,,,0.00006,4
856,,,0.000316,13
857,,,0.000086,13
858,,,0.000054,13
859,,,0.000055,4
860,,,0.000056,4
861,,,0.000219,10
862,,,0.000322,4
863,,,0.000079,10
864,,,0.000194,4
771,,,0.000058,4
865,,,0.000081,4
866,,,0.000184,4
867,,,0.000117,4
868,,,0.000067,4
869,,,0.000077,10
870,,,0.000149,10
871,,,0.000112,10
872,,,0.000128,4
873,,,0.000084,0
874,,,0.000095,4
875,,,0.000189,4
876,,,0.000062,4
877,,,0.000078,10
878,,,0.000057,4
879,,,0.000106,4
880,,,0.000105,4
883,,,0.000206,2
882,,,0.001461,4
884,,,0.000057,4
886,,,0.000098,4
887,,,0.000052,10
888,,,0.000062,4
890,,,0.000055,4
891,,,0.000091,4
892,,,0.000175,4
893,,,0.000075,4
822,,,0.000145,10
894,,,0.000325,4
895,,,0.000059,4
896,,,0.000159,4
897,,,0.000067,4
898,,,0.000106,4
899,,,0.000104,4
900,,,0.000352,18
901,,,0.000066,4
902,,,0.000155,4
903,,,0.000298,4
904,,,0.000268,4
906,,,0.000235,4
907,,,0.000189,4
908,,,0.001728,4
910,,,0.000099,4
911,,,0.00012,4
912,,,0.000092,4
913,,,0.000121,4
909,,,0.000068,4
914,,,0.000076,4
915,,,0.000116,4
916,,,0.000058,4
917,,,0.000373,4
918,,,0.000054,4
919,,,0.000068,4
920,,,0.000307,4
921,,,0.000327,4
922,,,0.00027,4
924,,,0.000057,4
925,,,0.00056,4
926,,,0.000109,4
927,,,0.000107,4
928,,,0.000248,4
929,,,0.000429,18
930,,,0.000088,4
931,,,0.000154,4
933,,,0.00006,4
934,,,0.000105,4
936,,,0.000056,4
937,,,0.001353,4
885,,,0.000246,4
938,,,0.000076,10
923,,,0.000996,4
939,,,0.000098,4
940,,,0.000086,0
942,,,0.000087,4
943,,,0.000278,4
944,,,0.000069,4
946,,,0.000103,4
947,,,0.000067,6
889,,,0.000056,4
941,,,0.000098,4
948,,,0.000217,4
949,,,0.000062,4
950,,,0.000152,4
951,,,0.000064,4
952,,,0.000067,4
954,,,0.000113,4
932,,,0.000068,4
955,,,0.000072,4
956,,,0.000067,4
957,,,0.00013,4
959,,,0.000124,4
960,,,0.000107,4
961,,,0.000144,10
963,,,0.000214,18
964,,,0.000057,4
966,,,0.000069,4
967,,,0.000316,4
968,,,0.000058,4
935,,,0.000218,4
965,,,0.000058,4
969,,,0.000067,6
825,,,0.000057,4
970,,,0.000051,10
971,,,0.000058,4
972,,,0.000202,4
973,,,0.000121,4
974,,,0.00006,4
975,,,0.000147,4
976,,,0.000052,0
977,,,0.000088,4
953,,,0.000245,4
978,,,0.000658,4
979,,,0.000075,4
980,,,0.000058,4
981,,,0.000135,4
982,,,0.000283,4
983,,,0.000083,4
984,,,0.000138,4
985,,,0.000056,4
986,,,0.000079,4
987,,,0.000084,4
988,,,0.000404,0
989,,,0.000082,4
990,,,0.00006,4
991,,,0.000081,0
993,,,0.00015,3
994,,,0.000071,4
995,,,0.000222,4
905,,,0.005366,11
996,,,0.000082,4
997,,,0.000082,4
999,,,0.000062,4
1000,,,0.000077,4
1001,,,0.00037,4
1002,,,0.000066,4
1003,,,0.000066,4
1004,,,0.000112,4
998,,,0.000057,4
1006,,,0.00009,4
1007,,,0.000064,4
1008,,,0.000375,4
1009,,,0.000123,4
1010,,,0.000162,4
1011,,,0.000105,4
1012,,,0.000106,4
1013,,,0.000415,4
1015,,,0.000067,4
1016,,,0.000068,4
1017,,,0.000068,4
807,,,0.000057,4
1018,,,0.004075,13
1019,,,0.000112,4
1020,,,0.000154,4
1021,,,0.0001,4
1022,,,0.000068,4
1023,,,0.000085,4
1024,,,0.0001,4
1025,,,0.000095,4
1026,,,0.000304,4
1027,,,0.000067,4
1028,,,0.000386,4
1029,,,0.000061,4
1030,,,0.000061,0
1031,,,0.0001,3
1032,,,0.000067,4
1033,,,0.000067,4
1034,,,0.000296,4
1035,,,0.000079,4
1036,,,0.000071,4
1037,,,0.000204,4
1038,,,0.000058,4
1039,,,0.000074,4
1005,,,0.000475,4
1040,,,0.000092,4
1041,,,0.000057,4
1042,,,0.000092,4
962,,,0.000308,4
1044,,,0.000292,10
1045,,,0.000126,4
1046,,,0.000052,4
1047,,,0.000067,4
1048,,,0.000173,4
1049,,,0.000055,4
1050,,,0.000135,4
1051,,,0.000084,4
1052,,,0.000191,17
1053,,,0.00105,4
1054,,,0.000147,4
1055,,,0.000096,4
1056,,,0.000173,4
1057,,,0.000089,4
1014,,,0.000137,4
1043,,,0.000536,4
1058,,,0.000056,4
1059,,,0.000081,4
1060,,,0.000067,4
1061,,,0.000056,4
1062,,,0.000362,4
1063,,,0.000112,4
958,,,0.000209,4
1065,,,0.000209,10
1066,,,0.000116,4
992,,,0.000068,4
1068,,,0.000204,4
1069,,,0.000066,12
1070,,,0.000062,4
1071,,,0.000096,4
1073,,,0.000167,4
1074,,,0.000162,4
1075,,,0.000077,4
1076,,,0.000097,4
1077,,,0.000067,6
1078,,,0.00108,5
1079,,,0.000119,5
1080,,,0.000119,5
1081,,,0.000119,5
1082,,,0.000119,5
1083,,,0.000119,5
1084,,,0.000193,4
1085,,,0.000119,5
1086,,,0.000119,5
1087,,,0.000119,5
1088,,,0.000119,5
1089,,,0.000119,5
1072,,,0.000035,4
1090,,,0.000189,0
1091,,,0.000056,4
1092,,,0.000343,4
1093,,,0.000048,4
1094,,,0.000733,4
1095,,,0.000097,10
1096,,,0.000196,4
1097,,,0.000091,4
1100,,,0.00047,4
1098,,,0.000265,10
881,,,0.000057,4
1099,,,0.000083,4
1101,,,0.000058,4
1102,,,0.000067,4
1103,,,0.000058,4
1104,,,0.000151,4
1105,,,0.000099,4
1106,,,0.000082,4
1107,,,0.000201,4
1108,,,0.000058,4
461,,,0.000068,4
1109,,,0.000062,4
1110,,,0.000098,10
1111,,,0.000103,4
1112,,,0.000078,0
1113,,,0.000129,4
1114,,,0.000071,4
1116,,,0.000079,4
1117,,,0.000058,4
1118,,,0.000063,4
1119,,,0.000259,4
1120,,,0.000056,4
1121,,,0.000106,10
1122,,,0.000064,4
1123,,,0.000068,4
1124,,,0.000061,4
1125,,,0.000057,4
1126,,,0.000062,4
1127,,,0.000077,4
1128,,,0.000196,4
1129,,,0.000132,4
1130,,,0.000091,4
1132,,,0.000088,4
1133,,,0.000145,4
1134,,,0.000112,4
1136,,,0.000052,0
1137,,,0.000052,0
1138,,,0.00006,4
1139,,,0.000161,13
1140,,,0.000116,13
1141,,,0.000069,13
1142,,,0.000069,13
1143,,,0.000136,13
1144,,,0.00007,13
1145,,,0.000162,13
1146,,,0.000088,3
1147,,,0.000116,10
1135,,,0.000061,4
1148,,,0.000056,4
1149,,,0.000068,10
1150,,,0.000061,4
1151,,,0.000061,4
1152,,,0.000065,4
1067,,,0.000101,0
1153,,,0.000129,4
945,,,0.000073,0
1154,,,0.00033,4
1155,,,0.000048,10
1156,,,0.000061,4
1157,,,0.000055,4
1158,,,0.000101,3
1159,,,0.000219,3
1160,,,0.000072,3
1161,,,0.000059,4
1162,,,0.002274,4
1163,,,0.000122,4
1164,,,0.000102,4
1165,,,0.000151,13
1166,,,0.000159,4
1167,,,0.000065,4
1168,,,0.000211,4
1170,,,0.000101,4
1171,,,0.000108,4
1172,,,0.000059,4
1173,,,0.000055,4
1174,,,0.000103,4
1175,,,0.000067,4
1176,,,0.000113,9
1177,,,0.000056,4
1178,,,0.000057,0
1179,,,0.000123,4
1180,,,0.000091,4
1181,,,0.000095,4
1182,,,0.000055,4
1169,,,0.000088,3
1184,,,0.000067,4
1185,,,0.000962,6
1186,,,0.000159,7
1187,,,0.000207,7
1188,,,0.000123,7
1189,,,0.000064,4
1190,,,0.000122,4
1191,,,0.000075,10
1192,,,0.000104,4
1193,,,0.000057,4
1194,,,0.000072,4
1195,,,0.000063,4
1196,,,0.000239,4
1197,,,0.000167,4
1183,,,0.000093,4
1199,,,0.000095,4
1200,,,0.000221,4
1201,,,0.001228,10
1202,,,0.000165,4
1204,,,0.000296,10
1205,,,0.000063,4
1206,,,0.000121,4
1207,,,0.000321,4
1208,,,0.000063,4
1209,,,0.000079,10
1210,,,0.000073,4
1211,,,0.000076,10
1212,,,0.000073,4
1213,,,0.00011,12
1214,,,0.000053,4
1215,,,0.000063,4
1216,,,0.000105,4
1217,,,0.002376,0
1218,,,0.000136,4
1219,,,0.000241,4
1220,,,0.000068,4
1221,,,0.000063,4
1222,,,0.000299,10
1223,,,0.000074,10
1224,,,0.000063,4
1225,,,0.000088,0
1226,,,0.000158,4
1227,,,0.000146,4
1228,,,0.000059,4
1198,,,0.000357,4
1229,,,0.000093,4
1230,,,0.000147,4
1231,,,0.00014,4
1232,,,0.000062,4
1233,,,0.000062,4
1234,,,0.000068,4
1235,,,0.000061,4
1237,,,0.000081,0
1238,,,0.00008,0
1239,,,0.000243,4
1240,,,0.000066,4
1241,,,0.000137,4
1242,,,0.000141,4
1243,,,0.000151,4
1244,,,0.000146,10
1245,,,0.000983,10
1246,,,0.000052,4
1247,,,0.000155,8
1248,,,0.000063,4
1249,,,0.000145,4
1250,,,0.000095,4
1252,,,0.000333,4
1251,,,0.000205,8
1253,,,0.000094,4
1236,,,0.000184,3
1254,,,0.000076,4
1255,,,0.000096,4
1256,,,0.000057,4
1257,,,0.000523,4
1258,,,0.000102,11
1259,,,0.000061,0
1260,,,0.000187,4
1261,,,0.000088,4
1262,,,0.00011,4
1263,,,0.000112,4
1264,,,0.000088,0
1265,,,0.000063,4
1266,,,0.000086,4
1269,,,0.000165,4
1270,,,0.000128,4
1271,,,0.000424,13
1272,,,0.000311,12
1273,,,0.000059,12
1064,,,0.00023,4
1274,,,0.000084,4
1268,,,0.00038,4
1275,,,0.000193,4
1276,,,0.000084,4
1277,,,0.000288,4
1278,,,0.000067,4
1279,,,0.000079,10
1280,,,0.000078,13
1281,,,0.001455,10
1282,,,0.000089,4
1283,,,0.000055,4
1284,,,0.000122,8
713,,,0.000052,4
1285,,,0.000062,4
1287,,,0.000068,10
1131,,,0.000093,6
1288,,,0.000078,0
